categories,description,price
"Ice Cream","Ola Rich'n Cream Mint Chocolate Ice ...","R
                49
                
                    99"
"Breakfast Cereals","Pick N Pay Instant Oats Originak 450g","R
                31
                
                    99"
"Fresh Desserts","Dewfresh Chocolate FlavouredDessert 2x10...","R
                11
                
                    99"
"Baking Aids","PnP Castor Sugar 500g","R
                18
                
                    49"
"Vegetables","PnP Cabbage Head","R
                6
                
                    66"
"Mineral Water","Aquelle Still Mineral Water5 L","R
                17
                
                    49"
"Coffee Tea And Creamers","Jacobs Kronung Instant Soluble Coffee 20...","R
                109
                
                    99"
"Frozen Meals","PnP Chicken Springolls 12","R
                44
                
                    99"
"Pasta","Fatti's&moni's Macaroni 500G...","R
                198
                
                    00"
"Long Life UHT Milk","Almond Breeze Milk Original 1 Litre","R
                36
                
                    49"
"Frozen Fish","Arctic Frost Hake Petit 1.5kg","R
                84
                
                    99"
"Confectionery","Beekies The Best Waffle 500g","R
                32
                
                    99"
"Coffee Tea And Creamers","House Of Coffees VIP Gold Beans 250g","R
                49
                
                    90"
"Salad Dressing Mayonnaise","PnP Finest Pear And Basil Vinaigrette250...","R
                49
                
                    99"
"Sauces and Pates","Pnp Plain Guacamole 200g","R
                22
                
                    00"
"Mineral Water","Aquelle Still Mineral Water5 L","R
                17
                
                    99"
"Jelly Pudding & Custard","PnP Orange Jelly 80g","R
                4
                
                    99"
"Pickles And Salads","PnP Cocktail Onions White 130g","R
                19
                
                    99"
"Canned Fish","Lucky Star Pilchards In Tomato Sauce 155...","R
                232
                
                    99"
"Groceries","PnP Finest Colombian GroundCoffee 250g","R
                68
                
                    99"
"Carbonated Fruit Juice","Grapetiser 100% Sparkling WhiteGrape 1.2...","R
                25
                
                    99"
"Pasta","No Name Spaghetti 500 GR x20","R
                192
                
                    49"
"Chips And Popcorn","Lay's Caribbean Onion AndBalsamic Vi...","R
                290
                
                    99"
"Organic Fruit & Vegetables","Organic Diced Butternut","R
                16
                
                    99"
"Vegetables","PnP Bean Sprouts","R
                15
                
                    99"
"Bread","Bakery Pnp Banting Bread","R
                39
                
                    49"
"Sweets","PnP Assorted Jellies Tub 500gr","R
                59
                
                    99"
"Mineral Water","Bonaqua Premium Still Water500 ML x6","R
                33
                
                    49"
"Frozen Vegetables","PnP Frozen Oven Chips 1kg","R
                24
                
                    99"
"Baking Ingredients","Golden Cloud Self Raising Flour 1kg x20","R
                271
                
                    49"
"Rice & Couscous","PnP Brown Rice 2kg","R
                36
                
                    99"
"Chips And Popcorn","PnP Cheese Puffs 150g","R
                11
                
                    49"
"Pasta","Fatti's&moni's Spaghetti 500...","R
                396
                
                    00"
"Lamb and Mutton","PnP Butchery Lamb Arm Chops","R
                124
                
                    99
                     (per kg)"
